"COMID","logDA_km2","logRT_total_hz_s","logq_hz_total_m_s","pred_DOC","tn_conc_mg_l","pred_DO","StreamOrde","totco2g_per_km","totco2g_per_m2","logtotco2_ang_per_m2","logtotco2_o2g_per_m2","logtotco2g_per_m2","logtotco2g_per_km","ID"
24126315,2.30914386864362,5.12881523357722,-3.51187321053387,2.014539367,0.187584343,10.6681017387859,4,366468476.31242,30215.6754030898,2.58175865913289,4.47471066033882,4.48023230636394,8.56403662249043,"S72"
24125421,3.48284583930534,5.40304826476565,-3.33025443040685,2.232759537,0.1770388055,10.6732939506859,6,562718529.904306,11185.7011363806,2.22692776970456,4.04206626186624,4.04866321150978,8.750291216385,"S73"
24131135,2.35624581850903,5.07090334761898,-4.09585324982412,2.130722103,0.2697471763,10.8519995853747,4,30278758.6690141,2357.97831515132,1.55102961113031,3.36593940867676,3.37253980684328,7.48113806652658,"S75"
24423479,2.49107987138065,5.91952824629657,-4.60151844430197,2.971441865,0.6395825256,10.3496642369259,4,38305769.4113229,2533.32425722798,2.01540796633423,3.38555493373532,3.40369078162315,7.58326419002084,"S77"
24125115,3.66779227047058,5.40222839033347,-3.42085158160828,2.542882622,0.6361092135,11.4107430732691,6,1320635416.93393,20979.7924173967,2.72165944053126,4.31075650513729,4.32180118679247,9.12078294004643,"S79"
23099884,2.6335495499774,6.59759959199851,-5.2609421521941,2.634391038,0.6290050096,10.3748034928772,4,3361912.37721022,187.07619338779,0.692570431261196,2.26042758052388,2.27201852433516,6.52658639007014,"S82"
24126203,1.88262811878086,5.01694503530814,-3.60361937144793,2.153727905,0.1548181415,11.1019837368089,3,190383384.135977,26323.1514439888,2.55306923892252,4.41440206961787,4.42033788238882,8.27962904229978,"S83"
23099678,4.1290922295798,8.17596892953788,-5.92996213339224,2.673438281,0.4890720396,10.2575845036881,7,4339377.84259928,39.4114611223427,0.0361556289379365,1.58347815326227,1.5956225359975,6.63742746709431,"T02"
23099844,3.95313455845458,7.05945134159391,-4.80594100405954,2.444491723,0.4411347565,10.5008908680898,7,43576700.2118644,489.859544754547,1.02153367362053,2.68065383292097,2.69007157455464,7.63925434077861,"T03"
24425579,3.39197547822177,5.11131944546146,-3.17135512390156,1.699225366,0.1171162676,11.1324142175857,6,769166926.268752,17069.6944030441,2.16157427780441,4.22851906802585,4.23222574605559,8.88602060155736,"T05"
23107212,1.88272029632168,7.26559456358545,-7.01055018233331,4.328673273,2.8105206177,9.95073227661364,2,42607.688172043,5.89044749930757,0.188966350221018,0.638021043237914,0.770148289540491,4.62948797068573,"T07"
