"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","tz_cd"
"USGS","12479500",1999-08-02,"10:00",NA,NA,"T","USGS-WRD","WS","474116900",NA,NA,NA,"9","9","9","A-2160141 125 ml filtered for soc; attn: leslie kanagy sch 1398 + o.p.-ddt suite","80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1999-08-02 17:00:00,"UTC"
"USGS","12480000",1988-07-26,"17:10",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,0,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-27 00:10:00,"UTC"
"USGS","12483800",1988-07-26,"08:50",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,4,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-26 15:50:00,"UTC"
"USGS","12484480",1988-05-05,"15:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"6","9","4",NA,"80154",NA,91,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-05-05 22:30:00,"UTC"
"USGS","12484480",1988-06-02,"14:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,64,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-06-02 21:00:00,"UTC"
"USGS","12484480",1988-06-02,"14:05",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,68,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-06-02 21:05:00,"UTC"
"USGS","12484480",1988-06-28,"06:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,131,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-06-28 13:00:00,"UTC"
"USGS","12484480",1988-06-28,"10:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,120,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-06-28 17:00:00,"UTC"
"USGS","12484480",1988-06-28,"14:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,123,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-06-28 21:00:00,"UTC"
"USGS","12484480",1988-07-26,"10:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,82,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-26 17:30:00,"UTC"
"USGS","12484480",1988-08-31,"16:30",NA,NA,"T","USGS-WRD","WS","474100490",NA,NA,NA,"4","9","9",NA,"80154",NA,45,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-08-31 23:30:00,"UTC"
"USGS","12484480",1988-11-18,"10:00",NA,NA,"T","USGS-WRD","WS","474100490",NA,NA,NA,"4","9","9",NA,"80154",NA,25,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1988-11-18 18:00:00,"UTC"
"USGS","12484480",1989-03-09,"14:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"6","9","J",NA,"80154",NA,1020,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1989-03-09 22:00:00,"UTC"
