"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","startDateTime","remark_cd_00681","result_va_00681","val_qual_tx_00681","meth_cd_00681","dqi_cd_00681","rpt_lev_va_00681","rpt_lev_cd_00681","lab_std_va_00681","prep_set_no_00681","prep_dt_00681","anl_set_no_00681","anl_dt_00681","result_lab_cm_tx_00681","anl_ent_cd_00681","month"
"USGS","12479500",1990-02-13,"08:15",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1990-02-13 08:15:00,NA,1.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"USGS","12479500",1990-03-13,"10:45",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1990-03-13 10:45:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"USGS","12479500",1991-02-20,"15:22",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1991-02-20 15:22:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"USGS","12479500",1999-08-02,"10:00",NA,NA,"PDT","T","USGS-WRD","WS","474116900",NA,NA,NA,"9","9","9","A-2160141 125 ml filtered for soc; attn: leslie kanagy sch 1398 + o.p.-ddt suite",1999-08-02 10:00:00,NA,1.2,NA,"OX007","R",0.1,"MRL",NA,NA,NA,NA,NA,NA,NA,8
"USGS","12484500",1987-04-15,"13:45",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-04-15 13:45:00,NA,3.7,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12484500",1987-05-01,"15:05",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-05-01 15:05:00,NA,3.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"USGS","12484500",1987-06-10,"13:00",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-06-10 13:00:00,NA,3.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12484500",1987-07-15,"08:00",NA,NA,"PDT","T","USGS-WRD","WS","474188801",NA,NA,NA,"9","9","9",NA,1987-07-15 08:00:00,NA,2.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12484500",1987-08-18,"09:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-08-18 09:00:00,NA,3.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"USGS","12484500",1987-09-09,"08:45",NA,NA,"PDT","T","USGS-WRD","WS","474100490",NA,NA,NA,"9","9","9",NA,1987-09-09 08:45:00,NA,2.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12484500",1987-12-09,"12:30",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1987-12-09 12:30:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"USGS","12484500",1988-01-13,"12:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-01-13 12:00:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"USGS","12484500",1988-02-10,"10:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-02-10 10:00:00,NA,2.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"USGS","12484500",1988-03-09,"10:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-03-09 10:00:00,NA,2.1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"USGS","12484500",1988-04-13,"10:50",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-04-13 10:50:00,NA,1.9,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12484500",1988-04-15,"15:20",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-04-15 15:20:00,NA,2.3,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"USGS","12484500",1988-05-11,"11:30",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-05-11 11:30:00,NA,0.4,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"USGS","12484500",1988-06-15,"12:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-06-15 12:45:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"USGS","12484500",1988-07-13,"11:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-07-13 11:00:00,NA,2.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12484500",1988-07-27,"10:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-07-27 10:45:00,NA,2.6,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"USGS","12484500",1988-08-10,"10:45",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-08-10 10:45:00,NA,2.1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"USGS","12484500",1988-09-14,"11:10",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-09-14 11:10:00,NA,2.1,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12484500",1988-09-21,"16:10",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-09-21 16:10:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12484500",1988-09-22,"00:15",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-09-22 00:15:00,NA,2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12484500",1988-09-22,"08:15",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,1988-09-22 08:15:00,NA,2.4,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"USGS","12484500",1988-10-12,"13:00",NA,NA,"PDT","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-10-12 13:00:00,NA,4.5,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"USGS","12484500",1988-11-09,"11:00",NA,NA,"PST","T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,1988-11-09 11:00:00,NA,1.2,NA,"OX007","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
